species
Staphylococcus aureus
Escherichia coli
Klebsiella pneumoniae
Streptococcus pneumoniae
Streptococcus pyogenes
Proteus vulgaris
Pseudomonas aeruginosa
Haemophilus influenzae
Bacteroides fragilis
Serratia marcescens
Enterobacter cloacae
Enterococcus faecium
Enterococcus faecalis
Stenotrophomonas maltophilia
Proteus mirabilis
Streptococcus dysgalactiae
"Streptococcus, viridans group"
Enterobacter agglomerans
Klebsiella (Enterobacter) aerogenes
Klebsiella oxytoca
Acinetobacter baumannii
Neisseria meningitidis
Burkholderia cepacia
Citrobacter diversus
Citrobacter freundii
Moraxella catarrhalis
Morganella morganii
